Source	Target
DB01076	ENSG00000113161
DB01076	ENSG00000197635
DB01076	ENSG00000106546
DB06779	ENSG00000117601
DB06779	ENSG00000003436
DB06779	ENSG00000112715
DB06779	ENSG00000174175
DB08899	ENSG00000169083
DB00459	ENSG00000186350
DB00459	ENSG00000077092
DB00459	ENSG00000143171
DB00459	ENSG00000131759
DB00459	ENSG00000114115
DB00459	ENSG00000172819
DB00459	ENSG00000227322
DB00459	ENSG00000228333
DB00459	ENSG00000206289
DB00459	ENSG00000204231
DB00459	ENSG00000231321
DB00459	ENSG00000235712
DB00095	ENSG00000173372
DB00095	ENSG00000159189
DB00095	ENSG00000203747
DB00095	ENSG00000005844
DB00095	ENSG00000150337
DB00095	ENSG00000072694
DB00095	ENSG00000162747
DB00095	ENSG00000143226
DB00095	ENSG00000159403
DB00095	ENSG00000173369
DB00536	ENSG00000130005
DB00536	ENSG00000111275
DB00536	ENSG00000129538
DB00536	ENSG00000132535
DB00277	ENSG00000184588
DB00277	ENSG00000172572
DB00277	ENSG00000065989
DB00277	ENSG00000196591
DB00277	ENSG00000138735
DB00277	ENSG00000163485
DB00277	ENSG00000170425
DB00277	ENSG00000128271
DB00275	ENSG00000144891
DB00364	ENSG00000138798
DB00364	ENSG00000171557
DB00364	ENSG00000171564
DB00364	ENSG00000171560
DB00364	ENSG00000138685
DB00898	ENSG00000149305
DB00898	ENSG00000094755
DB00898	ENSG00000145888
DB00898	ENSG00000182256
DB00898	ENSG00000102287
DB00898	ENSG00000162989
DB00898	ENSG00000198785
DB00898	ENSG00000166206
DB00898	ENSG00000166736
DB00898	ENSG00000151834
DB00898	ENSG00000108878
DB00898	ENSG00000067191
DB00898	ENSG00000162728
DB00898	ENSG00000174343
DB00898	ENSG00000186038
DB00898	ENSG00000186297
DB00898	ENSG00000151067
DB00898	ENSG00000187730
DB00898	ENSG00000145863
DB00898	ENSG00000268089
DB00898	ENSG00000101958
DB00898	ENSG00000163285
DB00898	ENSG00000117971
DB00898	ENSG00000162692
DB00898	ENSG00000145864
DB00898	ENSG00000157388
DB00898	ENSG00000081248
DB00898	ENSG00000169684
DB00898	ENSG00000109158
DB00898	ENSG00000157542
DB00898	ENSG00000160716
DB00898	ENSG00000186090
DB00898	ENSG00000152578
DB00898	ENSG00000147432
DB00898	ENSG00000166862
DB00898	ENSG00000125675
DB00898	ENSG00000163288
DB00898	ENSG00000011677
DB00898	ENSG00000112759
DB00898	ENSG00000120457
DB00898	ENSG00000178084
DB00898	ENSG00000174669
DB00898	ENSG00000120251
DB00898	ENSG00000147434
DB00898	ENSG00000022355
DB00898	ENSG00000080644
DB00898	ENSG00000120903
DB00898	ENSG00000101204
DB00898	ENSG00000274542
DB00898	ENSG00000175344
DB00898	ENSG00000129749
DB00898	ENSG00000155511
DB04576	ENSG00000131747
DB06274	ENSG00000082556
DB06274	ENSG00000112038
DB06274	ENSG00000116329
DB01011	ENSG00000160882
DB00712	ENSG00000095303
DB00712	ENSG00000073756
DB00491	ENSG00000171298
DB00491	ENSG00000089597
DB00491	ENSG00000257335
DB00491	ENSG00000214013
DB00092	ENSG00000173372
DB00092	ENSG00000173369
DB00092	ENSG00000072694
DB00092	ENSG00000143226
DB00092	ENSG00000150337
DB00092	ENSG00000162747
DB00092	ENSG00000159403
DB00092	ENSG00000159189
DB00092	ENSG00000116824
DB00092	ENSG00000203747
DB01250	ENSG00000111537
DB01250	ENSG00000137364
DB01183	ENSG00000112038
DB01183	ENSG00000116329
DB01183	ENSG00000082556
DB01183	ENSG00000136869
DB01183	ENSG00000091831
DB01183	ENSG00000118260
DB00106	ENSG00000109163
DB01182	ENSG00000183873
DB01182	ENSG00000055118
DB01208	ENSG00000131747
DB00457	ENSG00000170214
DB00457	ENSG00000171873
DB00457	ENSG00000184611
DB00457	ENSG00000055118
DB00457	ENSG00000150594
DB00457	ENSG00000120907
DB00457	ENSG00000173826
DB06439	ENSG00000175445
DB00276	ENSG00000131747
