Identifier	Name	Type	Category
DB06366	Pertuzumab	Drug	Monoclonal antibodies
DB05039	Indacaterol	Drug	
DB06372	Rilonacept	Drug	Immunosuppressive Agents
DB00602	Ivermectin	Drug	Insecticides, Antiparasitic Agents
DB00603	Medroxyprogesterone Acetate	Drug	Antineoplastic Agents, Hormonal, Contraceptive Agents, Male, Contraceptive Agents, Contraceptive Agents, Female
DB00600	Monobenzone	Drug	Dermatologic Agents
DB00601	Linezolid	Drug	Anti-Bacterial Agents
DB00606	Cyclothiazide	Drug	Diuretics, Antihypertensive Agents
DB00607	Nafcillin	Drug	Anti-Bacterial Agents, Penicillins
DB00604	Cisapride	Drug	Serotonin Receptor Agonists, Prokinetic Agents
DB00605	Sulindac	Drug	Anti-Inflammatory Agents, Non-Steroidal
DB08973	Fluclorolone acetonide	Drug	
DB08970	Fluprednidene Acetate	Drug	
DB06795	Mafenide	Drug	
DB08971	Fluocortolone	Drug	
DB08979	Fenspiride	Drug	
DB08976	Floctafenine	Drug	
DB08977	Fibrinolysin	Drug	
DB08974	Flubendazole	Drug	
DB08983	Etofibrate	Drug	
DB08984	Etofenamate	Drug	
DB08981	Fenbufen	Drug	
DB08982	Etozoline	Drug	
DB08987	Etidocaine	Drug	
DB08994	Ditazole	Drug	
DB08995	Diosmin	Drug	
DB08992	Eperisone	Drug	
DB08993	Enviomycin	Drug	
DB08990	Eprazinone	Drug	
DB08991	Epirizole	Drug	
DB06335	Saxagliptin	Drug	Dipeptidyl-Peptidase IV Inhibitors, Antidiabetic Agents
DB08998	Demexiptiline	Drug	
DB08996	Dimetacrine	Drug	
DB05013	Ingenol Mebutate	Drug	Antineoplastic Agents
DB00650	Leucovorin	Drug	Antidotes, Vitamin B Complex, Anti-anemic Agents, Antineoplastics, Adjuncts, Vitamins
DB01501	Difenoxin	Drug	
DB00653	Magnesium Sulfate	Drug	Calcium Channel Blockers, Anticonvulsants, Analgesics, Anesthetics, Tocolytic Agents, Anti-Arrhythmia Agents
DB00654	Latanoprost	Drug	
DB00651	Dyphylline	Drug	Phosphodiesterase Inhibitors, Vasodilator Agents, Muscle Relaxants, Respiratory, Bronchodilator Agents
DB00652	Pentazocine	Drug	Narcotic Antagonists, Analgesics, Opioid, Narcotics, Adjuvants, Anesthesia
DB00657	Mecamylamine	Drug	
DB00658	Sevelamer	Drug	
DB00655	Estrone	Drug	Estrogens, Anti-menopausal Agents
DB00656	Trazodone	Drug	Antidepressive Agents, Second-Generation, Anti-Anxiety Agents, Serotonin Uptake Inhibitors
DB00659	Acamprosate	Drug	Alcohol Deterrents
DB00660	Metaxalone	Drug	Neuromuscular Agents
DB00661	Verapamil	Drug	Vasodilator Agents, Calcium Channel Blockers, Anti-Arrhythmia Agents
DB00664	Sulfametopyrazine	Drug	Anti-Infective Agents, Urinary, Antimalarials, Anti-Infective Agents
DB01511	Delorazepam	Drug	Anticonvulsants
DB00665	Nilutamide	Drug	Androgen Antagonists, Antineoplastic Agents
DB00662	Trimethobenzamide	Drug	Antiemetics
DB00663	Flumethasone Pivalate	Drug	
DB00668	Epinephrine	Drug	Adrenergic beta-Agonists, Adrenergic alpha-Agonists, Mydriatics, Sympathomimetics, Vasoconstrictor Agents, Bronchodilator Agents
DB00669	Sumatriptan	Drug	Serotonin 5-HT1 Receptor Agonists, Vasoconstrictor Agents, Serotonin Receptor Agonists, Serotonin Antagonists
DB00666	Nafarelin	Drug	Antiendometriotic agent, Gonadotropin-releasing hormone agonist
DB00667	Histamine Phosphate	Drug	Diagnostic Agents, Histamine Agents
DB09006	Clinofibrate	Drug	
DB09003	Clocapramine	Drug	
DB09002	Cloperastine	Drug	
DB09000	Cyamemazine	Drug	
DB00671	Cefixime	Drug	Anti-Bacterial Agents, Cephalosporins
DB00672	Chlorpropamide	Drug	Hypoglycemic Agents, Antidiabetic Agents
DB00670	Pirenzepine	Drug	Antispasmodics, Muscarinic Antagonists, Anti-Ulcer Agents
DB00675	Tamoxifen	Drug	Antineoplastic Agents, Hormonal, Estrogen Antagonists, Selective Estrogen Receptor Modulators, Bone Density Conservation Agents
DB09009	Articaine	Drug	
DB00676	Benzyl Benzoate	Drug	Acaricides, Insecticides
DB00673	Aprepitant	Drug	
DB00674	Galantamine	Drug	Cholinesterase Inhibitors, Parasympathomimetics, Nootropic Agents
DB09008	Cephaloridine	Drug	
DB00679	Thioridazine	Drug	Antipsychotic Agents, Phenothiazines, Dopamine Antagonists
DB00677	Isoflurophate	Drug	Cholinesterase Inhibitors, Protease Inhibitors, Anti-glaucoma Agents, Ophthalmics
DB00678	Losartan	Drug	Angiotensin II Type 1 Receptor Blockers, Angiotensin Receptor Antagonists, Antihypertensive Agents, Anti-Arrhythmia Agents
DB09016	Butriptyline	Drug	
DB09017	Brotizolam	Drug	
DB09014	Captodiame	Drug	
DB09015	Potassium Canrenoate	Drug	
DB09012	Carbazochrome	Drug	
DB00682	Warfarin	Drug	Anticoagulants, Rodenticides
DB00683	Midazolam	Drug	GABA Modulators, Anesthetics, Intravenous, Anti-Anxiety Agents, Hypnotics and Sedatives, Adjuvants, Anesthesia
DB00680	Moricizine	Drug	Voltage-Gated Sodium Channel Blockers, Anti-Arrhythmia Agents
DB00681	Amphotericin B	Drug	Anti-Bacterial Agents, Antiprotozoal Agents, Antifungal Agents, Amebicides
DB00202	Succinylcholine	Drug	Neuromuscular Depolarizing Agents, Muscle Relaxants, Skeletal
DB00686	Pentosan Polysulfate	Drug	
DB00203	Sildenafil	Drug	
DB00687	Fludrocortisone	Drug	Anti-Inflammatory Agents
DB09018	Bromopride	Drug	
DB00684	Tobramycin	Drug	Anti-Bacterial Agents, Aminoglycosides
DB00200	Hydroxocobalamin	Drug	Hematinics, Vitamin B Complex, Nutritional Support, Anti-anemic Agents
DB00685	Trovafloxacin	Drug	Fluoroquinolones, Anti-Infective Agents, Quinolones
DB00201	Caffeine	Drug	Phosphodiesterase Inhibitors, Purinergic P1 Receptor Antagonists, Central Nervous System Stimulants, Appetite Depressants
DB09019	Bromhexine	Drug	
DB00206	Reserpine	Drug	Antipsychotic Agents, Adrenergic Uptake Inhibitors, Adrenergic Antagonists, Antihypertensive Agents
DB00207	Azithromycin	Drug	Anti-Bacterial Agents, Macrolides
DB00204	Dofetilide	Drug	Potassium Channel Blockers, Anti-Arrhythmia Agents
